COMBO_COMPANY_ID_18,COMBO_COMPANY_NAME,ACCT_ID_18,ACCT_NM,TEAM_TERRITORY_NAME,ACCT_OWN_FULL_NM,COMBO_LOCKED_CITY,COMBO_LOCKED_STATE,COMBO_LOCKED_INDUSTRY,ACCT_OWN_LVL_4_USR_NM,ACCT_OWN_LVL_5_USR_NM,FY27_C360_AOV,COMBO_EMPLOYEE_COUNT,ACCT_TIER,ATR,FY27 Q1 ACV,FY27 Q2 ACV
aBR3y000000HLhnGAG,Youfit Health Club,0010M00001SHc2vQAD,Youfit Health Clubs,AMER_PACE_RCG_CMRCL_GB_RETAIL_E_TempCovergae_02,Glenn Harvin,Deerfield Beach,FL,Retail & CG,Marshall Hall,Glenn Harvin,0,3000,Tier 2,0,0,0
00130000002xT9sAAE,"Central Moloney, Inc.",00130000002xT9sAAE,"Central Moloney, Inc.",AMER_PACE_MAE_CMRCL_MFG_W_MM_NL_W_TempCoverage_01B,Gabrielle Carels,Pine Bluff,AR,"Manufacturing, Automotive & Energy",John Tragas,AMER - PACE - MAE - CMRCL - MFG - W - MM - NL - W - RVP,0,926,Tier 1,0,0,0
aBR300000004QsPGAU,Production Resource Group LLC,00130000002xa0FAAQ,Production Resource Group,AMER_PACE_MAE_CMRCL_MFG_E_NJC_GB_02,Andrew Peck,New Windsor,NY,"Manufacturing, Automotive & Energy",Stephen Keller,Lucas Crowley,0,2000,Tier 1,0,0,0
aBR300000004E5FGAU,Hajoca Corporation,0010M00001YFiFOQA1,"Haines, Jones & Cadbury LLC",AMER_PACE_MAE_CMRCL_MFG_E_PMV_GB_02,Annie Ramadan,Lafayette Hill,PA,"Manufacturing, Automotive & Energy",Stephen Keller,Bri Read,0,3500,Tier 2,0,0,0
aBR0M000000H5xZWAS,"Affordable Interior Systems, Inc.",0013000000M2PUJAA3,"Affordable Interior Systems, Inc.",AMER_PACE_MAE_CMRCL_MFG_W_MM_NL_E_TempCoverage_04A,Andrew Ketcham,Leominster,MA,"Manufacturing, Automotive & Energy",John Tragas,Chloe LeBaron,0,559,Tier 2,0,0,0
00130000002xY1EAAU,Exit 76 Corporation,00130000002xY1EAAU,Exit 76 Corporation,AMER_PACE_RCG_CMRCL_MM_NL_RETAIL_04,Ivette Johnson,GRAND RAPIDS,MI,Retail & CG,Adam Kassam,Tanner DeVries,0,600,Tier 2,0,0,0
0013000000M1gzOAAR,Strack & Van Til Super Market Inc.,0013000000M1gzOAAR,Strack & Van Til Super Market Inc.,AMER_PACE_RCG_CMRCL_GB_RETAIL_W_04,Michael Lipton,Highland,IN,Retail & CG,Marshall Hall,Ashley Ellis,0,2300,Tier 2,0,0,0
aBR300000004FpwGAE,Coats Group Plc,0010M00001QlMFMQA3,COATS INC,AMER_PACE_RCG_CMRCL_GB_CG_HMDU_E_04,Luke Olsen,CHARLOTTE,NC,Retail & CG,Marshall Hall,Rebecca Daharsh,0,3868,Tier 2,0,0,0
aBR300000004OIKGA2,Universal Trailer Holdings Corp.,00130000002xWSmAAM,Wells Cargo Inc.,AMER_PACE_MAE_CMRCL_AUE_SE_MM_05,Nate Justice,Sanford,OK,"Manufacturing, Automotive & Energy",AMER - PACE - MAE - CMRCL - AUE - AVP,Jason Fajardo,0,350,Tier 2,0,0,0
aBR300000004PEUGA2,"Kent Sporting Goods Company, Inc.",00130000002xbL0AAI,Kent Outdoors,AMER_PACE_RCG_CMRCL_MM_NL_RETAIL_08,Taylor Schlosser,New London,FL,Retail & CG,Adam Kassam,Tanner DeVries,0,575,Tier 1,0,0,0
0013000000M1ZmLAAV,Pepsi MidAmerica Co.,0013000000M1ZmLAAV,Pepsi MidAmerica Co.,AMER_PACE_RCG_CMRCL_MM_NL_CG_01,ADDIS SISAY,Marion,IL,Retail & CG,Adam Kassam,Kyle Warren,0,1000,Tier 1,0,0,0
aBR300000004DgQGAU,YAZAKI CORPORATION,0013000000M2O3zAAF,"Yazaki North America, Inc.",AMER_PACE_MAE_CMRCL_MFG_C_OWV_GB_LOA_TempCoverage_03B,Alark Patel,Canton,MI,"Manufacturing, Automotive & Energy",AMER - PACE - MAE - CMRCL - MFG - C - AVP,AMER - PACE - MAE - CMRCL - MFG - C - OWV - RVP,0,1500,Tier 2,0,0,0
0010M00001SJKeTQAX,SNYDER PAPER CORPORATION,0010M00001SJKeTQAX,SNYDER PAPER CORPORATION,AMER_PACE_RCG_CMRCL_MM_NL_CG_05,Grady Saunders,Hickory,NC,Retail & CG,Adam Kassam,Kyle Warren,0,350,Tier 1,0,0,0
aBRed0000004I4nGAE,"Roger Cleveland Golf Company, Inc.",0013000000M2OubAAF,"Roger Cleveland Golf Company, Inc.",AMER_PACE_RCG_CMRCL_MM_CG_W_09,John Hackett,Huntington Beach,CA,Retail & CG,Adam Kassam,Lucas Brunette,0,270,Tier 1,0,0,0
aBR0M00000006f3WAA,Dnow Inc.,0010M00001QqeoNQAR,DNOW Credit Department,AMER_PACE_MAE_CMRCL_AUE_W_GB_02,Gwendolyn Ortiz,HOUSTON,TX,"Manufacturing, Automotive & Energy",AMER - PACE - MAE - CMRCL - AUE - AVP,Kay Boakye-Yiadom,0,4500,Tier 2,0,0,0
0013y00001h7L0FAAU,Solver Solar,0013y00001h7L0FAAU,Solver Solar,AMER_PACE_MAE_CMRCL_AUE_SE_MM_01,Conor O'Malley,Chicago,IL,"Manufacturing, Automotive & Energy",AMER - PACE - MAE - CMRCL - AUE - AVP,Jason Fajardo,0,500,Tier 2,0,0,0
aBR3y000000bsOZGAY,"Interstate-Mcbee, Llc",0013000000M2S7fAAF,Interstate McBee,AMER_PACE_MAE_CMRCL_MFG_W_MM_NL_E_TempCoverage_03A,Joseph Insana,bedford,OH,"Manufacturing, Automotive & Energy",John Tragas,Chloe LeBaron,0,325,Tier 2,0,0,0
aBRed000002Iiw0GAC,"Krispy Krunchy Foods, LLC",0010M00001XxupxQAB,"Krispy Krunchy Foods, LLC",AMER_PACE_RCG_CMRCL_MM_RETAIL_E_08,Emily Mitnick,Alexandria,LA,Retail & CG,Adam Kassam,David Freifeld,0,1620,Tier 1,0,0,0
